"id","citizen_id","plate_number","make","model","color","manufacture_year","chassis_number","engine_number","registration_date"
"1","1","T001ABC","Kia","Polo","White","2001","CHS0000000001","ENG0000000001","4/5/2020 12:00:00 AM"
"2","2","T002ABC","Suzuki","Vitz","Green","2002","CHS0000000002","ENG0000000002","5/19/2022 12:00:00 AM"
"3","3","T003ABC","Isuzu","Canter","Silver","2003","CHS0000000003","ENG0000000003","10/2/2023 12:00:00 AM"
"4","4","T004ABC","Ford","Rio","Green","2004","CHS0000000004","ENG0000000004","3/2/2024 12:00:00 AM"
"5","5","T005ABC","Toyota","Rio","Black","2005","CHS0000000005","ENG0000000005","8/11/2023 12:00:00 AM"
"6","6","T006ABC","Toyota","Polo","Gray","2006","CHS0000000006","ENG0000000006","11/10/2022 12:00:00 AM"
"7","7","T007ABC","Suzuki","Hilux","Silver","2007","CHS0000000007","ENG0000000007","10/13/2022 12:00:00 AM"
"8","8","T008ABC","Isuzu","Canter","White","2008","CHS0000000008","ENG0000000008","12/16/2021 12:00:00 AM"
"9","9","T009ABC","Hyundai","Premio","Black","2009","CHS0000000009","ENG0000000009","6/12/2020 12:00:00 AM"
"10","10","T010ABC","Toyota","Noah","Black","2010","CHS0000000010","ENG0000000010","11/3/2025 12:00:00 AM"
"11","11","T011ABC","Hyundai","Corolla","Red","2011","CHS0000000011","ENG0000000011","3/17/2020 12:00:00 AM"
"12","12","T012ABC","Honda","Hilux","Green","2012","CHS0000000012","ENG0000000012","1/30/2023 12:00:00 AM"
"13","13","T013ABC","Toyota","Vitz","Silver","2013","CHS0000000013","ENG0000000013","6/29/2021 12:00:00 AM"
"14","14","T014ABC","Nissan","Noah","Black","2014","CHS0000000014","ENG0000000014","12/11/2020 12:00:00 AM"
"15","15","T015ABC","Toyota","Canter","Red","2015","CHS0000000015","ENG0000000015","2/2/2022 12:00:00 AM"
"16","16","T016ABC","Honda","Premio","Silver","2016","CHS0000000016","ENG0000000016","10/18/2023 12:00:00 AM"
"17","17","T017ABC","Suzuki","Rio","Gray","2017","CHS0000000017","ENG0000000017","8/10/2021 12:00:00 AM"
